created_at,user_id,username,name,tweet,language,replies_count,retweets_count,likes_count,link
2020-10-22 12:41:12 India Standard Time,270371054,to_fly_to_live,Flynn Rider,"@ANI Isn't it the best poll promise ever?? Free Covid vaccine if you vote for BJP? But wait if they don't vote for you will you let em die? Does that mean Centre will provide vaccines only to states ruled by BJP? ""Shameless Leeches"" that's the least I got to describe the whole party",en,0,0,0,https://twitter.com/to_fly_to_live/status/1319174447442448384
2020-10-22 12:40:56 India Standard Time,"8,64189073858085E+017",utkarshsinha07,Utkarsh Sinha,Now states shall have wait for thier Vidhan Sabha election to get covid vaccine. #BiharPolls,en,0,0,0,https://twitter.com/utkarshsinha07/status/1319174381503852544
2020-10-22 12:39:52 India Standard Time,116114711,batolebazi,BATOLEBAZI,"जिस मदारी ने ट्रेन तक नहीं चलाई और तुम पत्नी व छोटे छोटे बच्चों के साथ सैकड़ों किमी पलायन करने को मजबूर हुए   आज वो तुम्हारे छालों पर दवाई लगाने का वादा कर रहा है, याद रखना बिहारियों  #BiharPolls #CovidVaccine  https://t.co/5CsHY52BVZ",hi,0,0,1,https://twitter.com/BATOLEBAZI/status/1319174114779643905
2020-10-22 12:39:47 India Standard Time,1249338116,bak_sahil,sahil,@MisseeMonis They said vaccine for all but not when. Free Covid vaccine is the new 15 lakhs Rs in every account kind of Jumla.,en,0,0,0,https://twitter.com/bak_sahil/status/1319174091232833536
2020-10-22 12:39:32 India Standard Time,"8,0422589006232E+017",ivibhatweedy,𝐯𝐢𝐛𝐬 | 🐺,"BJP really presenting ""free COVID vaccine"" as a state manifesto to win the Bihar elections as if it's a Diwali sale offer and they aren't the ruling party (at the centre) in charge of providing the vaccine to the entire country at the same cost.  party of deranged analphabetics.",en,0,0,4,https://twitter.com/ivibhatweedy/status/1319174029488476160
2020-10-22 12:39:18 India Standard Time,712681200,paulwatson72,Paul Watson,"Another dose of daily miserablism from Planet Grauniad subs  If you're pinning your hopes on a Covid vaccine, here's a dose of realism | David Salisbury  https://t.co/Lw46rcbXeV",en,0,0,0,https://twitter.com/paulwatson72/status/1319173971636609025
2020-10-22 12:39:00 India Standard Time,357389251,adarshshastri,Adarsh Shastri,The shame-facedness of the BJP has crossed all boundaries. Getting a Covid vaccine for all citizens of India at the earliest is the primary responsibility of the Government. To use it as a manifesto promise for people going to the polls is the lowest they can fall to! @INCIndia,en,0,0,0,https://twitter.com/adarshshastri/status/1319173894742241280
2020-10-22 12:38:50 India Standard Time,2490973032,baskaranbharath,Bharath Baskaran,Just 2 days ago PM said roadmap is ready to provide free covid vaccine for all #JustSaying #BiharElections2020 #coronavaccine,en,0,0,0,https://twitter.com/BaskaranBharath/status/1319173854153961472
2020-10-22 12:38:48 India Standard Time,3892092434,skphotography68,Sumit Kumar,#COVID vaccine. #vaccinepolitics  #BiharElections2020,it,0,1,1,https://twitter.com/skphotography68/status/1319173846591700996
2020-10-22 12:38:42 India Standard Time,711694309,aamaadmiparty,AAP,What about non-BJP ruled states?   Indians who didn't vote BJP will not get free Covid vaccine?,en,4,18,76,https://twitter.com/AamAadmiParty/status/1319173820255592448
2020-10-22 12:38:39 India Standard Time,23741521,clivebennett,"Me, myself and Clive ◣ ◢",@theJeremyVine And on the same day we heard that a Covid vaccine volunteer had died. Shameful.,en,0,0,0,https://twitter.com/clivebennett/status/1319173807354093568
2020-10-22 12:38:27 India Standard Time,2526777074,akshay_tlkr,Akshay Talgaonkar,Next maharashtra assembly election will be held in 2024. i don't think people in Maharashtra going to get covid vaccine any time soon. Petty politics,en,0,0,0,https://twitter.com/akshay_tlkr/status/1319173757278142465
2020-10-22 12:38:24 India Standard Time,497878291,paulhannon29,Paul Hannon,"Big Pharma, big money, big egos and a 900-year-old university: Inside Oxford’s deal to make a Covid vaccine  https://t.co/gcAVEjcoiz via @WSJ",en,0,0,0,https://twitter.com/PaulHannon29/status/1319173744074674176
2020-10-22 12:38:21 India Standard Time,"1,22171255592151E+018",unusual_times,Just An Ordinary Bloke,#Covid19UK #CovidVaccine   Latest on the AstraZeneca / Oxford World Beating Vaccine just landed on my desk.   Guessing you won't see much of this in the UK MSM  Please share so people in the UK know about this.   https://t.co/dXc1iDeECy,en,0,1,0,https://twitter.com/Unusual_Times/status/1319173732590587905
2020-10-22 12:38:15 India Standard Time,"1,18069545069894E+018",indtushar28,Tushar Singh,"Free Covid Vaccine for Bihar, With the kind of crowd in Rallies and no distancing and masks, Bihar me Vaccine se Pehle toh Herd Immunity aa Jayegi!, Neechta toh Chunav me khair aa hi gayi. PS: Not Surprised. #Bihar #BiharElections2020 #COVID19",en,0,0,0,https://twitter.com/indtushar28/status/1319173706329985024
2020-10-22 12:38:09 India Standard Time,2879722351,cchandramouli1,C. Chandramouli,"Misinterpretation. Misinformation.   Beware #Bihar!   Political party manifestos enlist promises, things 'to do'...and NOT 'don'ts'! Rivals &amp; pet (#Pidi!) media try to misguide the electorate!   #BiharElections2020 #BiharPolls #CovidVaccine",en,0,0,0,https://twitter.com/cchandramouli1/status/1319173681088581634
2020-10-22 12:37:58 India Standard Time,825896156,30arihantparakh,Arihant Parakh,"Read @BJP4India 's manifesto for Bihar Elections, Covid Vaccine for people of Bihar for FREE. What wrong have other state's citizens done that they are not eligible for free vaccine or GOI will provide vaccines on the basis of elections in state? Courtesy : @DainikBhaskar #Shame  https://t.co/MwWhY7NAL3",en,0,0,0,https://twitter.com/30arihantParakh/status/1319173635408490496
2020-10-22 12:37:55 India Standard Time,107404025,tavysingh,Tavleen Singh Aroor,Finance minister @nsitharaman launches manifesto for Bihar polls. Promises free Covid vaccine for the entire state.,en,0,0,9,https://twitter.com/Tavysingh/status/1319173623366717440
2020-10-22 12:37:50 India Standard Time,735633577,tolkric,Terry Browning #NazisRaus 🇪🇺🇬🇧🇩🇪🕷️,"If you're pinning your hopes on a Covid vaccine, here's a dose of realism | David Salisbury  https://t.co/rzJYSoFCC6",en,0,0,0,https://twitter.com/tolkric/status/1319173600302301184
2020-10-22 12:37:49 India Standard Time,562339545,dimacphail,Donald,"If you're pinning your hopes on a Covid vaccine, here's a dose of realism | David Salisbury  https://t.co/HisipUy2LP",en,0,0,0,https://twitter.com/dimacphail/status/1319173598070845441
2020-10-22 12:37:48 India Standard Time,"1,05054346750646E+018",stup1dbarb1e,hi she/her,i wonder when there will be a covid vaccine,en,0,0,1,https://twitter.com/stup1dbarb1e/status/1319173592370667521
